algorithm,inputType,n,timeMs,maxDepth,comparisons
MergeSort,Random,100,0.002,4,603
QuickSort,Random,100,0.005,5,670
DeterministicSelect,Random,100,0.001,3,523
ClosestPair,Random,100,0.024,7,132
MergeSort,Sorted,100,0.001,4,152
QuickSort,Sorted,100,0.004,5,812
DeterministicSelect,Sorted,100,0.001,3,320
MergeSort,Reversed,100,0.002,4,724
QuickSort,Reversed,100,0.004,6,749
DeterministicSelect,Reversed,100,0.001,3,597
MergeSort,Duplicates,100,0.002,4,553
QuickSort,Duplicates,100,0.002,3,391
DeterministicSelect,Duplicates,100,0.001,3,250
ClosestPair,Duplicates,100,0.018,7,130
MergeSort,Random,1000,0.031,7,9514
QuickSort,Random,1000,0.056,7,11038
DeterministicSelect,Random,1000,0.015,5,5817
ClosestPair,Random,1000,0.374,10,1131
MergeSort,Sorted,1000,0.013,7,3020
QuickSort,Sorted,1000,0.040,7,11198
DeterministicSelect,Sorted,1000,0.017,5,4103
MergeSort,Reversed,1000,0.021,7,10300
QuickSort,Reversed,1000,0.035,7,12197
DeterministicSelect,Reversed,1000,0.013,5,6547
MergeSort,Duplicates,1000,0.023,7,8948
QuickSort,Duplicates,1000,0.014,3,3134
DeterministicSelect,Duplicates,1000,0.013,5,3945
ClosestPair,Duplicates,1000,0.359,10,894
MergeSort,Random,10000,0.700,11,119991
QuickSort,Random,10000,0.694,9,159437
DeterministicSelect,Random,10000,0.297,6,65572
ClosestPair,Random,10000,6.119,13,12998
MergeSort,Sorted,10000,0.175,11,50272
QuickSort,Sorted,10000,0.392,9,160012
DeterministicSelect,Sorted,10000,0.143,6,45193
MergeSort,Reversed,10000,0.255,11,93607
QuickSort,Reversed,10000,0.387,9,152551
DeterministicSelect,Reversed,10000,0.200,6,68955
MergeSort,Duplicates,10000,0.405,11,114572
QuickSort,Duplicates,10000,0.135,4,28933
DeterministicSelect,Duplicates,10000,0.219,6,38378
ClosestPair,Duplicates,10000,4.070,13,10152
MergeSort,Random,100000,8.420,14,1565570
QuickSort,Random,100000,8.112,11,2069713
DeterministicSelect,Random,100000,3.052,8,672275
ClosestPair,Random,100000,39.960,17,141954
MergeSort,Sorted,100000,2.175,14,652208
QuickSort,Sorted,100000,4.364,11,2048210
DeterministicSelect,Sorted,100000,1.512,8,474004
MergeSort,Reversed,100000,3.121,14,1204522
QuickSort,Reversed,100000,4.668,12,2060525
DeterministicSelect,Reversed,100000,1.758,8,699314
MergeSort,Duplicates,100000,4.328,14,1481651
QuickSort,Duplicates,100000,1.314,3,399027
DeterministicSelect,Duplicates,100000,1.317,8,236074
ClosestPair,Duplicates,100000,33.771,17,115631
MergeSort,Random,500000,49.545,16,9223054
QuickSort,Random,500000,45.756,13,11707041
DeterministicSelect,Random,500000,15.514,9,3297539
ClosestPair,Random,500000,357.877,19,591393
MergeSort,Sorted,500000,10.503,16,3758928
QuickSort,Sorted,500000,22.881,13,11872603
DeterministicSelect,Sorted,500000,8.446,9,2403463
MergeSort,Reversed,500000,17.697,16,7201436
QuickSort,Reversed,500000,22.517,13,11298614
DeterministicSelect,Reversed,500000,8.435,9,3457173
MergeSort,Duplicates,500000,23.491,16,8718270
QuickSort,Duplicates,500000,6.389,4,1799945
DeterministicSelect,Duplicates,500000,11.217,9,2111365
ClosestPair,Duplicates,500000,276.978,19,441627
